DATE,USSTHPI_20190528,USSTHPI_20190827
1998-10-01,213.95,213.93
1999-01-01,216.2,216.18
1999-04-01,219.1,219.07
1999-07-01,222.2,222.17
1999-10-01,224.49,224.46
2000-01-01,228.78,228.75
2000-04-01,232.51,232.48
2000-07-01,236.73,236.71
2000-10-01,240.38,240.35
2001-01-01,246.31,246.28
2001-04-01,250.44,250.41
2001-07-01,254.32,254.29
2001-10-01,257.47,257.44
2002-01-01,261.17,261.14
2002-04-01,265.61,265.59
2002-07-01,270.88,270.85
2002-10-01,274.72,274.7
2003-01-01,278.07,278.04
2003-04-01,281.45,281.42
2003-07-01,285.77,285.74
2003-10-01,293.86,293.82
2004-01-01,298.45,298.42
2004-04-01,305.68,305.66
2004-07-01,317.37,317.35
2004-10-01,324.14,324.12
2005-01-01,331.6,331.59
2005-04-01,342.2,342.19
2005-07-01,352.53,352.51
2005-10-01,360.52,360.49
2006-01-01,366.25,366.21
2006-04-01,369.98,369.95
2006-07-01,373.04,373.0
2006-10-01,376.85,376.82
2007-01-01,378.23,378.2
2007-04-01,377.97,377.93
2007-07-01,373.74,373.71
2007-10-01,372.57,372.53
2008-01-01,369.86,369.82
2008-04-01,360.53,360.49
2008-07-01,349.19,349.15
2008-10-01,345.98,345.93
2009-01-01,348.52,348.47
2009-04-01,339.31,339.27
2009-07-01,330.34,330.3
2009-10-01,327.87,327.83
2010-01-01,323.94,323.9
2010-04-01,321.04,321.0
2010-07-01,324.08,324.04
2010-10-01,321.73,321.69
2011-01-01,312.88,312.85
2011-04-01,307.4,307.35
2011-07-01,309.7,309.65
2011-10-01,311.06,311.01
2012-01-01,307.78,307.74
2012-04-01,306.51,306.45
2012-07-01,310.47,310.41
2012-10-01,312.97,312.91
2013-01-01,314.59,314.53
2013-04-01,319.5,319.42
2013-07-01,324.49,324.39
2013-10-01,327.2,327.08
2014-01-01,330.09,329.96
2014-04-01,336.38,336.26
2014-07-01,341.22,341.09
2014-10-01,344.05,343.93
